model.name,model.title,citation.openAccessPdf,How does it use <model.name> ?,Secondary use of the <model.name> (if applicable),Citation Sentence,Does the paper introduce a new model?,"If yes, what is the name of the model? (not named is fine)",Does the paper use AI model?,"If yes, which model it is using?",Notes
Heuristic problem solving for AI,Steps toward Artificial Intelligence,https://aclanthology.org/2022.trustnlp-1.1.pdf,Background,,"Attribution analysis, or credit assignment, concerns how individual components of a system contribute to its overall performance (Minsky, 1961).",Yes,,Yes,,
Switch,Switch Transformers: Scaling to Trillion Parameter Models with Simple and Efficient Sparsity,https://arxiv.org/pdf/2102.04906,Background,,"On NLP tasks, sparely gated MoE [16] and switch Transformer [81] embeds hard MoE in a long shortterm memory (LSTM) [82] network and a Transformer [6], respectively. y. Instead of making choice with binary gates as in [80], only the branches corresponding to the top-K elements of the real-valued gates are activated in [16], [78], [81].",No,,No,,
SemVec,Linguistic Regularities in Continuous Space Word Representations,http://arxiv.org/pdf/2210.02771,Uses,,"We test this approach for k = 1 and k = 3, using embeddings from GloVe (Pennington et al., 2014) and Skip-gram8 (Mikolov et al., 2013), and using the embeddings predicted by our BERT-base encoder pre-trained on MSCG+PREFIX+GKB.",Yes,,Yes,SemVec,use embeddings from the AI model to test new approach
Sandwich Transformer,Improving Transformer Models by Reordering their Sublayers,https://www.mdpi.com/2076-3417/12/9/4502/pdf?version=1651215512,Background,,"In [16], the sub-layers of the encoder and decoder in the Transformer, such as the self-attention and feed forward layers, were reordered to reduce the model’s perplexity and increase the model’s robustness. In this study, we also aim to improve the efficiency of the refined model and shorten the training time.",Yes,X-Transformer,Yes,X-Transformer,
,,,Similarities,,"Finally, we chose s-sf-sf as our proposed model because it has fewer model parameters, while the BLEU score is almost the same. A similar notion was also proposed in [16]. If the self-attention mechanism appears earlier in the model and stacks more than the number of feed forward layers, the perplexity of the language model can be much lower.",,,,,use a similiar idea in the AI model to improve a current model
Transformer (Adaptive Input Embeddings),Adaptive Input Representations for Neural Language Modeling,https://www.aclweb.org/anthology/D19-1539.pdf,Uses,,"We adapt the transformer implementation available in the fairseq toolkit to our two tower architecture (Ott et al., 2019). For hyper-parameter and optimization choices we mostly follow Baevski and Auli (2018).",Yes,,Yes,Transformer (Adaptive Input Embeddings),
MT-DNN,Multi-Task Deep Neural Networks for Natural Language Understanding,https://arxiv.org/pdf/2308.08234,Background,,"One such approach, MT-DNN (Liu et al., 2019b), batches all the GLUE tasks (Wang et al., 2018) together and updates the model accordingly.",Yes,CMTL,Yes,CMTL,
,,,Background,,"Two learning types were mainly discussed. First, joint learning was used in an MTL setting where all the tasks are equally important (Kendall et al., 2018; Liu et al., 2019b).",,,,,
Culturome,Quantitative Analysis of Culture Using Millions of Digitized Books,https://serval.unil.ch/resource/serval:BIB_9947DF4A7067.P001/REF.pdf,Background,,"But the larger and the more ‘complete’ a corpus is, the greater the danger to succumb to an ‘implicit essentialism’22 and to mistake the model for the original: it seems to contain ‘everything’, so it must be ‘true’ (something that can often be observed in the field of cultoromics,23 when arguments are being made on the basis of the Google Books Ngram Corpus).",No,,No,,
Regularized SVD for Collaborative Filtering,Improving regularized singular value decomposition for collaborative filtering,https://eprints.sztaki.hu/9319/1/Palovics_400_3311628_ny.pdf,Background,,"Alpenglow1 is a free and open source C++ based framework with easy-to-use Python API especially suited for conjoint batch and online learning. We experiment in Aplenglow with • non-personalized temporal popularity and item-to-item recommender models, • time-aware variants of nearest neighbor [9], • SGD based batch and online matrix factorization [10], • asymmetric matrix factorization [8].",No,,No,,
GSM,Gated Self-Matching Networks for Reading Comprehension and Question Answering,https://link.springer.com/content/pdf/10.1007/s44267-023-00010-1.pdf,Uses,,"The predicted relatedness R(xi, xj) is the average value of two related attention scores rij and rji: where WrQ and WrM are two learnable matrices for query and memory according to the query-memory attention mechanism [41].",Yes,,Yes,GSM,
MnasNet-A3,MnasNet: Platform-Aware Neural Architecture Search for Mobile,https://arxiv.org/pdf/2212.06524,Uses,,"Concretely, a lightweight MnasNet [24] is applied for image feature Ft,color extraction.",Yes,SST,Yes,MnasNet-A3,
Statistical Shape Constellations,Unsupervised Learning of Models for Recognition,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0203897&type=printable,Background,,"In computer vision field, traditional methods [19–21] and deep learning based methods [22–28] are applied to solve the object detection problems",Yes,Enhanced Region Proposal Network (ERPN),Yes,Region Proposal Network (RPN),
PolyCoder,A systematic evaluation of large language models of code,http://arxiv.org/pdf/2305.19213,Background,,"Recently, large language models of code (Code-LLMs) are receiving increasing attention (Chen et al., 2021; Xu et al., 2022).",No,,Yes,"DAVINCI002, CODEX","compared to textonly LLMs, Code-LLMs with code prompts are significantly better in causal reasoning"
EDSR,Enhanced Deep Residual Networks for Single Image Super-Resolution,https://arxiv.org/pdf/2211.06770,Background,,"The problem of image restoration and enhancement has been addressed in several papers, though many were dealing only with particular aspects such as super-resolution [4, 8, 21,24,29,32,35,44,45,52], denoising [1,2,11,15,43,53,54], color and tone mapping [36, 38, 49, 50], luminance, gamma and contrast adjustment [5, 10, 51].",Yes,MicroISP,Yes,MicroISP,
ContextNet,ContextNet: Improving Convolutional Neural Networks for Automatic Speech Recognition with Global Context,https://arxiv.org/pdf/2210.17098,,,,,,,,Not sure how to record this because it's cited in a table
TransE,Translating Embeddings for Modeling Multi-relational Data,https://arxiv.org/pdf/2310.08917,Background,,"This technique involves transforming entities and relations into low-dimensional vectors and using a scoring function (Bordes et al., 2013; Wang et al., 2017) to assess the plausibility of a triplet (consisting of a head entity, a relation, and a tail entity).",Yes,RelEns-DSC,Yes,TransE,
,,,Background,,"Well-known scoring functions, such as TransE (Bordes et al., 2013), ComplEx (Trouillon et al., 2017), ConvE (Dettmers et al., 2018), and CompGCN (Vashishth et al., 2020), have demonstrated remarkable success in learning from KGs.",,,,,
,,,Motivation,,"Following (Bordes et al., 2013; Trouillon et al., 2017; Sun et al., 2019; Vashishth et al., 2020), we adopt mean reciprocal ranking (MRR) as the evaluation metric. Larger MRR indicates better performance",,,,,
,,,Uses,,"We select some representative embedding models as our base models Fi , including: (i) translational distance models TransE (Bordes et al., 2013), RotatE (Sun et al., 2019), HousE (Li et al., 2022); (ii) bilinear model ComplEx (Trouillon et al., 2017); (iii) neural network model ConvE (Dettmers et al., 2018); and (iv) GNN based model CompGCN (Vashishth et al., 2020)",,,,,
ResNeXt-50,Aggregated Residual Transformations for Deep Neural Networks,http://arxiv.org/pdf/2306.05401,Uses,,"Mean accuracy of different backbone architectures on CCC-Medium. Accuracy reported is an average across 9 runs. Backbones used: [3, 10, 23, 43, 51], †: AugMix [14], ‡: DeepAugment [11].",Yes,RDumb,Yes,ResNeXt-50,
ViT-G (model soup),Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time,http://arxiv.org/pdf/2301.10092,Background,Uses,The publication ”Model soups: averaging weights of multiple fine-tuned models improves accuracy without increasing inference time” [1] proposes to average the weights of the different models to maximize the use of all the training without wasting learning time.,Yes,Pruned Soup,Yes,"Model Soups, ResNet, ViT, EfficientNet",first test the Model Souping (the AI model) and then introduce a new model based on the original AI model 
SmooCT,Self-play Monte-Carlo tree search in computer poker,https://ojs.aaai.org/index.php/AAAI/article/download/25661/25433,Background,,"Others used Monte Carlo simulation-based approaches (Schweizer et al. 2009; Broeck, Driessens, and Ramon 2009) including Monte Carlo Tree Search (Heinrich and Silver 2014), which is a very popular and successful technique in games in general (Swiechowski et al. 2023).","Yes, fine tuned",DEVN,Yes,Counterfactual Values (CFVs),
DeepNet,"DeepNet: Scaling Transformers to 1, 000 Layers",https://arxiv.org/pdf/2310.03724,Uses,Differences,"We compare our results to massively multilingual supervised models, M2M100 [20] and Deepnet [21].",Yes,,Yes,"M2M100, Deepnet, T-Modules","The source paper compares their model with the target paper, not sure if i catogrize it into the correct 'use' labels?"
RBM Image Classifier,Learning Multiple Layers of Features from Tiny Images,https://ieeexplore.ieee.org/ielx7/6570653/7076742/10233848.pdf,Uses,,"The framework was tested using the ResNet18 model [24] on the CIFAR-10 dataset [25], which consists of 50000 training images and 10000 test images classified into 10 classes.",Yes,F-2T2R,Yes,F-2T2R,
Megatron-Turing NLG 530B,"Using DeepSpeed and Megatron to Train Megatron-Turing NLG 530B, A Large-Scale Generative Language Model",http://arxiv.org/pdf/2302.10360,Uses,Motivation,"We used a variety of real models that have been introduced by other works, and then designed our family of hypothetical future models FUTURE-* in a similar fashion, keeping a reasonable sequence length, increasing the embedding dimension drastically, and following the trend of recent large models like PaLM (Chowdhery et al., 2022) and MT-NLG (Smith et al., 2022) of increasing the ratio d/h, which results in favorable energy calculations due to the lower fraction of memory operations in attention.",No,,Yes,"PaLM, MT-NLG (target paper)",
Youtube recommendation model,Deep Neural Networks for YouTube Recommendations,http://arxiv.org/pdf/2302.00158,,,,,,,,no access
Universal approximation via Feedforward Networks,Multilayer feedforward networks are universal approximators,https://www.biorxiv.org/content/biorxiv/early/2023/06/23/2023.05.05.539427.full.pdf,Background,,"Neural networks are machine learning models [17, 18] capable of approximating any function [19]",Yes,Dawnn,Yes,Dawnn,
Denoising Diffusion Probabilistic Models (LSUN Bedroom),Denoising Diffusion Probabilistic Models,https://www.mdpi.com/1424-8220/24/3/829/pdf?version=1706284599,Background,,"Representatively, denoising diffusion probabilistic models (DDPMs) [12] have rendered image generation plausible by gradually denoising sampled data from a Gaussian distribution.",Yes,HDPose,Yes,DDPM (target paper),
,,,Uses,,"Following DDPM [12], this process can be expressed as: xt := √ α¯tx0 + p 1 − α¯tϵ (3) where αt := 1 − βt , α¯t := Πt s=1 αs and ϵ ∼ N (0, I) Gaussian noise ϵ. We can optimize L by randomly sampling t during training, thereby exploiting these properties.",,,,,
ReLU (NORB),Rectified Linear Units Improve Restricted Boltzmann Machines,http://arxiv.org/pdf/2306.12929,Uses,,The configuration “MLP” parameterizes each Gi with a feed-forward net with one hidden layer of size nhid and a ReLU non-linearity [47].,Yes,fine tuned,Yes,,
ProBERTa,Transforming the Language of Life: Transformer Neural Networks for Protein Prediction Tasks,https://www.biorxiv.org/content/biorxiv/early/2024/02/08/2024.02.06.579188.full.pdf,Background,,"Recently, deep learning has been an accelerating force for protein engineers, and large attention based models are at the forefront.[16–18]",Yes,NOMELT,Yes,NOMELT,
Motion-Driven 3D Feature Tracking,A Combined Corner and Edge Detector,https://arxiv.org/pdf/2112.12812,,,,,,,,no access to the target paper
TD(0),An Adaptive Optimal Controller for Discrete-Time Markov Environments,https://www.jstage.jst.go.jp/article/kikaic/79/801/79_1754/_pdf,,,,,,,,Paper written in Japanese
ProtT5-XXL,ProtTrans: Towards Cracking the Language of Life’s Code Through Self-Supervised Learning,https://www.biorxiv.org/content/biorxiv/early/2021/07/20/2020.11.27.401232.full.pdf,Background,Future Work,"Standard transformer models have already been used to embed unaligned protein sequences (52–54), but the most efficient transformer models released in the last year are now capable of handling sequence lengths even in the millions, and so this suggests that a single deep transformer model with a compressed self-attention mechanism could, in principle, embed a whole MSA in one go by essentially treating it as a single sequence.",Yes,,Yes,,
BASIC-L + Lion,Symbolic Discovery of Optimization Algorithms,https://ieeexplore.ieee.org/ielx7/92/4359553/10313117.pdf,Background,,"Although both target the classification of images, best-inclass classifiers differ by multiple orders of magnitude in terms of model parameters, i.e., 1.5M [51] for MNIST and 2440M [52] for ImageNet.",Yes,,Yes,,
ShuffleNet v2,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,https://www.nature.com/articles/s41598-023-42577-1.pdf,Differences,,"Although EfcientNet-B0 consumes more computational resources than these models, it did improve identifcation accuracy when comparing with other lightweight CNN such as SqueezeNet and ShufeNetV2.",Yes,EfcientNet-CA,Yes,EfcientNet-B0,An interesting paper presents a deep learning-based model designed for the rapid and precise identifcation of common horseshoe bats
ShuffleNet v1,ShuffleNet: An Extremely Efficient Convolutional Neural Network for Mobile Devices,https://www.mdpi.com/2079-9292/12/22/4617/pdf?version=1699696562,Background,,"MobileNet [20], ShuffleNet [26], and EffNet [27] are examples of common artificially built lightweight models.",Yes,Arc_EffNet,Yes,Arc_EffNet,
Agent57,Agent57: Outperforming the Atari Human Benchmark,https://arxiv.org/pdf/2107.02195,Background,,"Reinforcement learning (RL) algorithms have reached tremendous success in the field of embodied intelligence, including human-level control in Atari games [1], [2] and in firstperson games [3], [4], and super-human control in competitive games [5], [6].",Yes,,Yes,,
Fast R-CNN,Fast R-CNN,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0297059&type=printable,Background,,"Common two-stage detectors include R-CNN [12], Fast R-CNN [13] and Faster R-CNN [14].",Yes,PO-YOLOv5,Yes,PO-YOLOv5,
GShard (dense),GShard: Scaling Giant Models with Conditional Computation and Automatic Sharding,https://arxiv.org/pdf/2309.13850,Background,,"These benefits have been empirically demonstrated in several deep learning applications, including natural language processing (Lepikhin et al., 2021; Du et al., 2022; Fedus et al., 2022b; Zhou et al., 2023; Pham et al., 2024), speech recognition (Peng et al., 1996; Gulati et al., 2020; You et al., 2022), computer vision (Dosovitskiy et al., 2021; Riquelme et al., 2021; Liang et al., 2022; Bao et al., 2022), multi-task learning (Hazimeh et al., 2021; Gupta et al., 2022) and other applications (Rives et al., 2021; Chow et al., 2023; Li et al., 2023; Han et al., 2024).",Yes,,Yes,,
Symmetric Residual Encoder-Decoder Net,Image Restoration Using Very Deep Convolutional Encoder-Decoder Networks with Symmetric Skip Connections,https://arxiv.org/pdf/2303.14934,Background,,"Image denoising aims to restore clean images from noisy observations [5, 11, 14], and it has achieved noticeable improvement with the advances in deep networks",Yes,not named,Yes,"blind-neighborhood network (BNN), locally aware network (LAN)",Discusses a method of denoising images by using BNN for supervision in flat regions of noisy images and LAN for supervision in textured regions of noisy images. 
,,,Background,,"Other learning based methods, such as RED30 [33], MemNet [40], and MWCNN [31], are also developed with advanced architectures",,,,,
Denoising Autoencoders,Extracting and composing robust features with denoising autoencoders,http://www.cell.com/article/S2405844023006515/pdf,,,Recent advancements in Artificial Intelligence (AI) have proven that deep learning models provide promising outcomes in comparison with conventional (shallow) machine learning algorithms in different domains,No,,Yes,"Deep convolutional neural networks (DCNNs), VGG16, VGG19, ResNet50,
InceptionV3, and MobileNet","Interesting article on using models for biomedical image classification, differentiating between beign and malignag cancers. It trains and fine-tunes multiple models (VGG16 and VGG19, ResNet50, InceptionV3, and MobileNet) and finds that ResNet50 does exceptionally well in terms of classification accuracy compared to other models used."
Word Representations,Word Representations: A Simple and General Method for Semi-Supervised Learning,http://ijece.iaescore.com/index.php/IJECE/article/download/11416/11082,,,,,,,,
Fully Convolutional Networks,Fully convolutional networks for semantic segmentation,https://arxiv.org/pdf/2310.15150,,,,,,,,
SEER,Self-supervised Pretraining of Visual Features in the Wild,https://www.pure.ed.ac.uk/ws/files/241297605/Paper_Generative_Models_with_Negative_Retraining.pdf,Background,,Few-shot learning uses prior knowledge to augment the learned classes [12]–[15].,Yes,REtraining with Few-shots Generative Adversarial Network (REFGAN),No,,
,,,Extends,,"REFGAN is adaptive and takes into account OoC as they are introduced. We adapt the prior to detect OoC by moving away from a priori known OoC using two poles, one positive and one negative, in line with Contrastive Learning [15].",,,,,
,,,Background,,"It intersects with other methods such as [28], [15].",,,,,
,,,Extends,,Our REFGAN methodology can perform multi-class classification and recognize the class of OoC using Nearest Neighbors with f-divergences [15].,,,,,
,,,Future Work,,"In the future, we will evaluate REFGAN using a large number of classes using (9) to avoid softmax [39] and compare it to [15] and meta-learning methods that address the few-shot learning setting [25], [40], [41].",,,,,
AmoebaNet-A (F=448),Regularized Evolution for Image Classifier Architecture Search,https://ojs.aaai.org/index.php/AAAI/article/download/25118/24890,Background,,"Similarly, for AmobaNet(Real et al. 2019), to search for clean accuracy leveraging Evolutionary Algorithms, 8 days would be required on 10 GPUs",Yes,Wsr-NAS,Yes,WsrNet,
PaLM (540B),PaLM: Scaling Language Modeling with Pathways,https://arxiv.org/pdf/2310.03026,Background,,"The remarkable achievements of LLMs are undeniably captivating, demonstrating LLM’s human-like reasoning skills and generalization of human commonsense (Bian et al., 2023; Nay, 2022; Chowdhery et al., 2022; Ouyang et al., 2022; Chung et al., 2022)",Yes,LanguageMPC,No,,About automated driving LLM that combinds RL and MPC
GLM-130B,GLM-130B: An Open Bilingual Pre-trained Model,https://arxiv.org/pdf/2308.07107,Background,,"To our knowledge, it is the first model to directly fine-tune LLMs, including ChatGLM [68, 114], ChatGLM2.0 [68, 114], Baichuan [115], and Qwen [116], specifically for the query rewriting task",No,,No,,
VQGAN + CLIP,Taming Transformers for High-Resolution Image Synthesis,https://arxiv.org/pdf/2211.00680,Uses,,"In this Section we present the results of experiments carried out on images generated by several state-of-the-art generative models including GANs, transformers, and DMs: ProGAN [20], StyleGAN2 [22], StyleGAN3 [11], BigGAN [21], EG3D [30], Taming Transformer [23], DALL·E Mini [24], DALL·E 2 [3], GLIDE [5], Latent Diffusion [25], Stable Diffusion [4] and ADM (Ablated Diffusion Model) [26].",No,,Yes,"ProGAN, StyleGAN2, StyleGAN3, BigGAN, EG3D, Taming Transformer, DALL·E Mini, DALL·E 2, GLIDE, Latent Diffusion, Stable Diffusion and ADM (Ablated Diffusion Model)",Cool application on using AI to generate synthetic images
HMM Word Alignment,HMM-Based Word Alignment in Statistical Translation,http://dl.acm.org/ft_gateway.cfm?id=1118045&type=pdf,,,,,,,,Cannot download securely
PaLI,PaLI: A Jointly-Scaled Multilingual Language-Image Model,http://arxiv.org/pdf/2303.07226,Background,,"However, state-of-the-art vision language models like Flamingo-80B [1], BEIT-3-1.9B[66], and PaLI-17B [6] can be computationally expensive and difficult to train, which has motivated researchers to explore ways of improving their efficiency and effectiveness.",Yes,VL-MoE,No,,
Cognitron,Cognitron: A self-organizing multilayered neural network,https://academic.oup.com/mnras/article-pdf/507/3/4425/40365089/stab2142.pdf,Background,,"The concept of machine learning in computational science started from Fukushima (1975, 1980) and Fukushima, Miyake & Ito (1983).",Yes,"No name just says ""our CNN classifier""",Yes,CNN,
